char,canton,waitau,searchkey,hakka1,hakka2,Notes
先,sin1,sing1,先sin1,sin1,,~生
光,gwong1,gwong1,光gwong1,gong1,,
克,häk1,häk2,克häk1,ket5,,
兌,döi3,döi1,兌döi3,dui4,,
免,min5,ming1,免min5,men1,,
兒,yi4,yi4,兒yi4,yi2,,
兔,tou3,tu1,兔tou3,tu4,,
兕,si3,si1,兕si3,si4,,
兗,yün2,yüng2,兗yün2,yen3,,
党,dong2,dong2,党dong2,dong3,,
兜,däu1,däu1,兜däu1,diu1,,
兢,gin1,ging1,兢gin1,kin1,,
入,yäp6,yäp6,入yäp6,ngip6,,
內,noi6,nöi6,內noi6,lui4,,
全,cün4,cüng4,全cün4,cien2,,
兩,löng2,löng2,兩löng2,liong3,,(=両)
兩,löng5,löng1,兩löng5,liong1,,~個
八,bat3,bæk2,八bat3,bat5,,
公,gung1,gung1,公gung1,gung1,,
六,luk6,luk6,六luk6,luk5,,
兮,häi4,häi4,兮häi4,hi1,,
共,gung6,gung6,共gung6,kiung4,,
兵,bing1,bäng1,兵bing1,bin1,,
其,kei4,ki4,其kei4,ki2,,
具,göi6,gü6,具göi6,ki3,,
典,din2,ding2,典din2,dien3,,
兼,gim1,gim1,兼gim1,giam1,,
冀,kei5,ki1,冀kei5,gi3,,
冇,mou5,mäu1,冇mou5,mau2,,(沒有)
冇,mou5,mäu1,冇mou5,pang4,,(客家話：空的)
冉,yim2,yim2,冉yim2,ngiam3,,
册,cak3,cæk2,册cak3,cak5,,
再,zoi3,zöi1,再zoi3,zai4,,
冏,gwing2,gwäng2,冏gwing2,gen3,,
冑,zäu6,zäu6,冑zäu6,ciu4,,
冒,mou6,mäu6,冒mou6,mau4,,
冓,gäu3,gäu1,冓gäu3,giu4,,
冔,höi2,hü2,冔höi2,hi3,,
冕,min5,ming1,冕min5,men1,,
冗,yung2,yung2,冗yung2,yung3,,
冘,yäu4,yäu4,冘yäu4,yiu2,,
冞,mei4,mi4,冞mei4,mi2,,
冠,gwun1,gwung1,冠gwun1,gon1,,皇~
冠,gwun3,gwung1,冠gwun3,gon4,,~軍
冢,cung5,cung1,冢cung5,cung3,,
冤,yün1,yüng1,冤yün1,yen1,,
冥,ming4,mäng4,冥ming4,men2,,
冪,mik1,mäk2,冪mik1,met5,,
冬,dung1,dung1,冬dung1,dung1,,
冰,bing1,bäng1,冰bing1,ben1,,
冱,wu6,wu6,冱wu6,fu4,,
冶,ye5,ye1,冶ye5,ya3,,
冷,lang5,læng1,冷lang5,lang1,,
