Index,Word,Glossary,EnglishGlossary,Type,Character,IPA,Rom,1st check,Remark
805_Hakka_1,805,(用湯)泡飯,drowning the rice in soup,Hakka_1,淘飯,tʰau11fan53,tau2 fan4 ,OK,
806_Hakka_1,806,撥(飯菜),Poke the rice into another bowl,Hakka_1,減,pʰa13,pa1 ,唔肯定,uncertain with character
807_Hakka_1,807,(飯)糊(了),Scorched,Hakka_1,燶,luŋ13,lung1 ,OK,
808_Hakka_1,808,豆腐乾,Pot-stewed bean curd,Hakka_1,豆腐乾,tʰɛu53fu53kɔn13,teu4 fu4 gon1 ,OK,
809_Hakka_1,809,豆腐,Bean curd,Hakka_1,豆腐,tʰɛu53fu53,teu4 fu4 ,OK,
810_Hakka_1,810,豆腐腦兒,Bean curd jelly,Hakka_1,豆腐花,tʰɛu53fu53fa13,teu4 fu4 fa1 ,OK,
811_Hakka_1,811,豆腐乳,Soy cheese,Hakka_1,豆腐霉,tʰɛu53fu53mɔi13,teu4 fu4 moi1 ,OK,
812_Hakka_1,812,粉絲,Glass noodle,Hakka_1,萊絲仔,lɔi11su13>35tsai31,loi2 su1 zai3 ,OK,
813_Hakka_1,813,(用菜)下酒,(use something) go with the wine,Hakka_1,傍,pɔŋ31,bong3 ,OK,
814_Hakka_1,814,(吃)飽(了),(Stomach)Full,Hakka_1,飽,pau31,bau3 ,OK,
815_Hakka_1,815,打飽嗝,Belch because of too full,Hakka_1,打胲約,ta31kɔi13>35jɔk31,da3 goi1 yok5 ,OK,
815_Hakka_2,815,打飽嗝,Belch because of too full,Hakka_2,轉嗉,tsɔn31siɔ53,zon3 sio4 ,OK,
816_Hakka_1,816,打嗝,Belch,Hakka_1,打呃督,ta31ɛt53tuk53,da3 et6 duk6 ,OK,
817_Hakka_1,817,冰淇淋,Ice-cream,Hakka_1,雪糕,siɛt31kau11,siet5 gau2 ,OK,
818_Hakka_1,818,冰混兒,Popsicle (ice-sucker),Hakka_1,雪條,siɛt31tʰiau11,siet5 tiau2 ,OK,
819_Hakka_1,819,饅頭,Steamed bread,Hakka_1,饅頭,man11tʰɛu11,man2 teu2 ,OK,
820_Hakka_1,820,包子,Stuffed bun,Hakka_1,包仔,pau11,bau2 ,有問題,包 character =/= IPA  ROM
821_Hakka_1,821,餃子,Dumpling,Hakka_1,餃子,kau31tsu31,gau3 zu3 ,OK,
822_Hakka_1,822,餛飩,Wonton,Hakka_1,雲吞,vun11tʰun13,vun2 tun1 ,OK,
823_Hakka_1,823,(餃子)餡兒,Stuffing,Hakka_1,餡,ham53,ham4 ,OK,
824_Hakka_1,824,湯圓,Sweetdumpling,Hakka_1,雪丸板,siɛt31jɛn11pan31,siet5 yen2 ban3 ,OK,
824_Hakka_2,824,湯圓,Sweetdumpling,Hakka_2,糖丸,tʰɔŋ11jɛn11,tong2 yen2 ,OK,
825_Hakka_1,825,餈粑,Stickyricecake,Hakka_1,餈粑,tsʰi11pa13,ci2 ba1 ,OK,
826_Hakka_1,826,粽子,Ricedumpling,Hakka_1,裹粽,kɔ31tsuŋ53,go3 zung4 ,OK,
827_Hakka_1,827,零食,Snack,Hakka_1,小口,siau31hɛu31,siau3 heu3 ,OK,
828_Hakka_1,828,(餅乾)渣兒,Crumb,Hakka_1,碎,sui53,sui4 ,OK,
829_Hakka_1,829,點心,Refreshments,Hakka_1,茶果,tsʰa11kɔ31,ca2 go3 ,OK,
829_Hakka_2,829,點心,Refreshments,Hakka_2,點心,tiam31sim13,diam3 sim1 ,OK,
830_Hakka_1,830,夜宵,Nightsnacks,Hakka_1,宵夜,siau13ja53,siau1 ya4 ,OK,
831_Hakka_1,831,作料,Seasoning,Hakka_1,配料,pʰui53liau53,pui4 liau4 ,OK,
832_Hakka_1,832,醋,Vinegar,Hakka_1,醋,tsʰu53,cu4 ,OK,
833_Hakka_1,833,鹽,Salt,Hakka_1,鹽,jam11,yam2 ,OK,
834_Hakka_1,834,豬油,Lard,Hakka_1,豬油,tsu13>35jiu11,zu1 yiu2 ,OK,
835_Hakka_1,835,芝麻油,Sesame oil,Hakka_1,麻油,ma11jiu11,ma2 yiu2 ,OK,
836_Hakka_1,836,紅糖,Brown sugar,Hakka_1,黃糖,vɔŋ11tʰɔŋ11,vong2 tong2 ,OK,
837_Hakka_1,837,白糖,White sugar,Hakka_1,白糖,pʰak53tʰɔŋ11,pak6 tong2 ,OK,
838_Hakka_1,838,糖果,Candy,Hakka_1,麻糖,ma11tʰɔŋ11,ma2 tong2 ,OK,
838_Hakka_2,838,糖果,Candy,Hakka_2,糖仔,tʰɔŋ11tsai31,tong2 zai3 ,OK,
839_Hakka_1,839,醬油,Brown sauce,Hakka_1,豉油,si53>55jiu11,si4 yiu2 ,OK,
840_Hakka_1,840,(醬油)殘汁,Juicestains,Hakka_1,腳,kiɔk31,giok5 ,OK,
